para,rc,ah
0,5Ec4AhNmFmpEvbFUqLoWAd68CcvudkegML6YhBEg1keWpPaf,5Eg2fnsaLW194BydPLkbHGRwT6cDMAhnQyjyx8mAtUg5g6ei
2048,5Ec4AhNmG8sxwXqncL8VfyMnPftV1mJcwwpdokxfDhZ91zK2,5Eg2fnsaLs4s58ZwAL5anchbe9ZnjBMj1bU54iVA6Rahsb2S
2049,5Ec4AhNmTkw9TembRxcDs9zrVJYuA8Ek3f3TSN8Dozb7Eq4H,5Eg2fnsaYV83bFVjyxZJyoLfjnECsYHr7JgthKeigicg6aRH
2050,5Ec4AhNmfNzKymhQFb5x4LdvawDKJVAs9NGH4yHnQHd5U6Af,5Eg2fnsak7BE7NRYob33AyyjqQtd1uDyD1uiKvpHH1eeKrjD
2051,5Ec4AhNms13WVtdD5DZgFXGzgZsjSr6zF5V6haTLzaf3h7Wo,5Eg2fnsawjEQdVMMdDWmNAcow3Z3AGA6Jj8XxXyqsJgcZ15F
2052,5Ec4AhNn4d6h21Z1tr3QShv4nCY9bD37LnhvLBcuash1vHSs,5Eg2fnsb9MHb9cHASqzVZMFt2gDTJd6DQSMMb99QTbiamt6Z
2053,5Ec4AhNnGF9sY8UpiUX8dtZ8sqCZjZyESVvjxnnUBAiz9cfC,5Eg2fnsbLyLmfjCyGUUDkXtx8JssSz2LW9aBDkJy3tkZ1EmG
3333,5Ec4AhNnGUKT3ibmKqrFaUyRVjoJM5Nwp8koA9rxgPHsmUom,5Eg2fnsbMCWMBKKusqoLh8KEkDUc4VS3snQER7PTZ7KSdCJL
2054,5Ec4AhNnTsD44FQdY6zrq5CCyTrysvuMYD9ZbPx2mTkxNmUj,5Eg2fnsbYbPxBr8n66wwwiY2DwYHbLxTbrnzrMUXeBnXE9rk
3334,5Ec4AhNnU6NdZqXa9UKymfcVbNTiVSK4uqycnm2XGgKqzkKz,5Eg2fnsbYpZXhSFihUH4tJxJqr92CrNAyVd43iZ29QMQrVbc
2055,5Ec4AhNnfVGEaNLSMjUb2FqH56XQ2HqUdvNPE17bMknvbf6x,5Eg2fnsbkDT8hy4aujRg8uB6KaChjhtaha1pUxe6EUpVTGFb
2056,5Ec4AhNns7KR6VGFBMxKDSUMAjBpAembjdbCrcH9x3ptq22p,5Eg2fnsbwqWKE5zPjMuQL5pARCs7t4phoHEe7ZoepmrTgd4J
